"id","submitdate","G01Q04","G01Q17","G01Q18","G01Q19","G01Q05","G01Q06[SQ001]","G01Q06[SQ002]","G01Q06[SQ003]","G01Q06[SQ004]","G01Q06[SQ005]","G01Q11","G02Q02","G02Q07[SQ001]","G02Q07[SQ012]","G02Q07[SQ022]","G02Q07[SQ032]","G02Q07[SQ042]","G02Q07[SQ052]","G02Q07[SQ062]","G02Q07[SQ072]","G02Q07[SQ082]","G02Q07[SQ092]","G02Q08","G02Q09","G02Q10[SQ012]","G02Q10[SQ022]","G02Q10[SQ032]","G02Q10[SQ053]","G02Q10[SQ042]","G02Q10[SQ052]","G02Q12","G03Q03","G03Q13","G03Q14","G03Q15","G03Q16"
"34","2021-10-03 15:53:38","Yes","Last minute","No","Yes","Yes","Yes","No","No","No","No","If I order the gift online, I first have to send it to my adress and afterwards send it again to my friend --> more transportation, time consuming, bad for environment","Yes","4","4","5","5","5","3","4","3","2","2","personalized gift, e.g. with photos","4","4","5","1","4","3","1","","24-30","Female","Yes","Business Administration / Management","Germany"
"35","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"36","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"37","2021-10-03 21:05:39","Yes","Last minute","Yes","No","Yes","No","Yes","No","No","Yes","I don't know what they need","No","1","1","3","4","4","5","3","2","4","1","Books","2","5","3","5","4","5","5","","31-45","Female","Yes","Business Administration / Management","Russian Federation"
"38","2021-10-04 05:52:22","Yes","In advance","Yes","Yes","Yes","No","No","No","No","Yes","Shipping - cost, hassle, and it arriving on time
","No","3","4","5","4","3","5","5","5","4","1","Something related to where they live. I like to give gift cards for experiences where they are - like a small spa gift or good restaurant nearby etc","3","5","4","5","4","5","3","If it was digital gift giving instead of or as well as physical, so it could include experiences, ebooks, movies, subscriptions, courses, things like yoga, spa treatments, travel, etc. ","24-30","Female","No","Business Administration / Management","Canada"
"39","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"40","","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"41","2021-10-04 09:09:04","Yes","Last minute","Yes","Yes","Yes","No","No","Yes","No","No","The size of the gift, because it is crucial when sending ","Yes","4","3","5","5","5","5","5","4","4","5","Personalized stuff such as jewelry or biscuits","4","4","5","5","4","2","4","Not right away. 
","24-30","Female","Yes","Business Administration / Management","Norway"
"42","2021-10-04 10:04:02","Yes","In advance","No","No","Yes","Yes","No","Yes","No","No","That the present might not survive the transport.","No","2","3","3","3","3","3","4","1","2","3","Book","5","3","3","1","4","2","3","Reminder what you giftet them the last time","24-30","Female","Yes","Business Administration / Management","Switzerland"
"43","2021-10-04 10:04:17","No","Last minute","No","Yes","Yes","No","No","No","Yes","No","An idea what to gift them","Yes","2","3","5","5","4","5","3","2","4","5","","3","5","3","1","4","4","5","","24-30","Male","Yes","Business Administration / Management","Germany"
"44","2021-10-04 10:06:12","Yes","In advance","No","No","Yes","No","No","No","No","Yes","high costs of sending a package as well as the environmental impact caused by long distance transport","Yes","2","4","5","5","3","4","1","1","1","2","a card/letter","5","2","2","1","4","4","3","","18-23","Female","Yes","Arts, Entertainment, and Recreation","Austria"
"45","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"46","2021-10-04 10:09:00","No","Last minute","No","No","Yes","No","No","No","Yes","No","Not knowing what to gift them","Yes","1","2","3","1","4","4","1","1","1","4","","3","4","4","1","4","5","5","","24-30","Male","Yes","Legal Services","Germany"
"47","2021-10-04 10:06:58","No","In advance","Yes","No","No","No","Yes","No","No","No","I prefer giving it in person","No","3","1","5","4","4","3","1","1","1","1","","5","4","2","1","4","1","1","","24-30","Female","Yes","Business Administration / Management","Switzerland"
"48","2021-10-04 10:13:59","Yes","In advance","No","No","Yes","No","No","Yes","No","No","To send the gift on time","No","3","5","1","4","3","4","4","4","4","2","","4","5","2","1","4","5","3","","24-30","Female","No","Business Administration / Management","Germany"
"49","","Yes","Last minute","No","No","Yes","No","Yes","No","No","Yes","Packaging, size, money, time","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"50","2021-10-04 10:19:52","Yes","Last minute","No","No","Yes","No","Yes","No","No","Yes","Packaging, size, time, money","Yes","2","3","5","5","5","5","5","4","4","5","Pictures frames, magnets, wellness things ","4","5","4","2","4","4","4","When to order to be sure that my friend will receive my gift on time. May get a reminder if I enter the birthdays in the app/calendar. 


","24-30","Female","Yes","Business Administration / Management","Germany"
"51","2021-10-04 10:22:08","Yes","Last minute","No","No","Yes","Yes","No","Yes","No","Yes","Paying for the shipment
","No","3","5","5","5","3","5","5","1","5","2","","3","4","4","4","4","3","3","","24-30","Female","Yes","Business Administration / Management","Germany"
"52","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"53","2021-10-04 10:27:10","Yes","Last minute","Yes","Yes","Yes","No","No","No","No","Yes","Delivery ","Yes","3","4","5","5","5","4","2","5","4","5","","5","5","4","5","4","4","5","","24-30","Female","Yes","Business Administration / Management","Germany"
"54","2021-10-04 10:31:23","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","Expenses for sending them the gift are higher than the value of the gift","Yes","3","4","4","5","4","4","5","4","2","4","","5","5","2","5","4","5","4","","24-30","Female","Yes","Health Care and Social Assistance","Germany"
"55","2021-10-04 10:39:34","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","- the distance ","Yes","2","4","3","4","4","5","4","3","3","4","- pictures ","4","4","5","5","4","4","5","- being affordable ","31-45","Female","No","College, University, and Adult Education","Germany"
"56","2021-10-04 10:45:10","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","To remember the Birthday and not seeing the reaction","Yes","1","3","5","3","4","5","4","1","1","4","","4","5","4","3","4","2","4","","24-30","Male","No","Retail","Germany"
"57","2021-10-04 10:48:10","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","Logistics","Yes","3","4","3","4","4","2","3","4","2","2","","3","4","3","4","4","5","5","","24-30","Male","Yes","Business Administration / Management","Germany"
"58","2021-10-04 11:00:07","Yes","Last minute","No","Yes","Yes","No","Yes","Yes","No","No","-Choosing the approbiate value
-Ordering early enough","Yes","1","3","5","4","4","5","5","4","3","4","","4","4","4","2","4","1","3","","46-60","Female","No","Health Care and Social Assistance","Germany"
"59","2021-10-04 11:02:08","Yes","In advance","Yes","Yes","Yes","No","No","Yes","No","No","That they receive their present on their birthday (delivery on time)","Yes","3","4","4","1","2","4","5","5","5","4","","3","5","4","4","4","4","5","","24-30","Female","Yes","Arts, Entertainment, and Recreation","Germany"
"60","","Yes","In advance","Yes","No","No","Yes","No","No","No","No","To find an individual gift","Yes","","","","","3","3","","3","3","","","3","4","3","3","4","4","3","","","N/A","","",""
"61","2021-10-04 11:11:17","Yes","In advance","No","No","No","Yes","Yes","No","No","No","To get a personal & convenient present solution ","Yes","3","5","5","4","3","5","4","5","5","2","","3","5","4","2","4","5","3","","24-30","Female","Yes","Business Administration / Management","Germany"
"62","2021-10-04 11:19:23","Yes","In advance","No","No","Yes","Yes","Yes","No","No","No","That I want to send more than just a little thing but it is super costly and the sending costs more than the gift","No","3","5","5","5","5","5","1","1","2","2","Sending the person a short and funny survey and out of this survey you will find out how to fill the box","4","3","4","4","4","3","4","Cooperations with companies..not only selling their own stuff","24-30","Female","Yes","Health Care and Social Assistance","Austria"
"63","2021-10-04 11:19:13","No","Last minute","No","No","No","Yes","No","No","No","No","If you know somebody well the distance doesn‘t make a difference on the difficulty of finding the right Gift. ","Yes","3","2","4","1","1","1","4","3","4","2","","3","2","1","3","3","2","2","","24-30","Female","Yes","Health Care and Social Assistance","Germany"
"64","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"65","2021-10-04 11:44:41","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","Remembering to do so, doing it in advance, finding the right idea","Yes","2","4","5","5","5","4","2","1","1","5","products with photos like cups or collages","3","5","2","5","4","4","4","Provide me with ideas for small gifts in general. Also include the option for vouchers like for wellness, restaurants or the like","24-30","Female","Yes","Legal Services","Germany"
"66","2021-10-04 11:48:34","Yes","Last minute","No","Yes","No","Yes","No","No","No","No","To have a appropriate idea and to send it there in time ","Yes","2","1","4","3","4","5","3","2","4","3","","2","3","1","1","4","3","3","","18-23","Female","Yes","Health Care and Social Assistance","Germany"
"67","2021-10-04 11:58:30","No","Last minute","No","No","Yes","No","No","No","Yes","No",".","Yes","4","3","2","4","2","5","4","2","2","3","","4","3","4","3","4","4","4","","24-30","Male","Yes","Business Administration / Management","Switzerland"
"68","2021-10-04 12:29:08","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","Don't know what they like or what fits them","Yes","2","4","3","2","3","5","3","3","1","2","","4","5","3","5","4","5","5","","18-23","Male","Yes","Information Services and Data Processing","Germany"
"69","","Yes","Last minute","Yes","No","Yes","No","Yes","No","No","No","I don‘t know what he or she is currently intressted in. ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"70","2021-10-04 12:42:58","Yes","Last minute","Yes","Yes","Yes","No","No","No","Yes","No","Shipping ","Yes","3","4","4","4","4","5","5","3","4","5","","4","5","4","2","4","3","3","","18-23","Female","Yes","Legal Services","Germany"

